AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY,Sum
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2004
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
0,1,0,2,3,0,0,1,0,7,1,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,21,0,18,55,2,3,423,9,235,8,2,0,17,3,37,11,62,0,0,0,0,0,0,3,0,0,2,0,12,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,11,1,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,8,1,29,0,0,0,0,1,0,0,8,0,0,0,2,1,1,3,0,4,4,2,347,5,1,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1503
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,21,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,18,0,0,1,0,0,14,1,0,0,0,1,0,3,0,0,0,0,3,0,55,3,0,1,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,423,2,11,6,1,0,8,4,2,1,3,1,1,0,0,0,0,0,0,0,9,0,1,0,1,0,1,2,0,0,0,0,0,7,1,1,4,1,1,1,235,12,13,3,5,1,29,347,4,0,9,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,37,4,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,62,1,1,0,1,0,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503
0,0,12,70,4,1,4,27,30,9,2,1,0,73,7,15,0,2,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,9,3,1,2,10,8,1,3,0,0,16,12,20,0,8,0,0,0,0,0,101,3,5,8,162,58,45,22,20,0,72,72,40,18,60,1,3,0,0,0,0,0,0,1,5,4,0,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,3,6,3,1,4,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,19,13,3,0,10,0,4,10,3,1,2,0,0,0,0,0,0,0,0,0,41,80,32,6,3,1,51,50,33,9,11,0,0,0,0,0,0,0,0,0,0,4,46,4,22,1,45,28,23,3,11,0,0,0,0,0,0,0,0,0,0,0,11,6,3,0,21,22,33,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,29,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,5,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
0,0,12,70,4,1,4,27,30,9,2,1,0,73,7,15,0,2,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,9,3,1,2,10,8,1,3,0,0,16,12,20,0,8,0,0,0,0,0,101,3,5,8,162,58,45,22,20,0,72,72,40,18,60,1,3,0,0,0,0,0,0,1,5,4,0,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,3,6,3,1,4,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,19,13,3,0,10,0,4,10,3,1,2,0,0,0,0,0,0,0,0,0,41,80,32,6,3,1,51,50,33,9,11,0,0,0,0,0,0,0,0,0,0,4,46,4,22,1,45,28,23,3,11,0,0,0,0,0,0,0,0,0,0,0,11,6,3,0,21,22,33,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,29,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,5,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
1,0,0,2,2,1,0,11,0,10,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,11,6,17,0,0,0,7,0,0,0,9,0,0,2,6,1,28,8,0,4,188,2,276,10,3,0,4,0,34,5,16,2,0,0,2,0,0,1,0,0,1,0,11,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,19,0,11,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,7,0,4,4,0,0,1,0,1,0,0,0,0,0,4,0,6,1,1,1,9,1,155,1,0,0,1,5,2,0,9,0,0,1,3,0,4,13,0,0,54,1,109,1,0,0,1,1,0,3,8,0,0,0,0,0,0,13,0,0,13,0,68,1,0,0,0,0,1,2,12,0,0,0,1,0,0,1,0,0,26,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,37,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,1,45,1,164,2,0,0,6,3,1,5,9,0,0,0,1,0,3,23,0,2,9,0,94,1,0,0,1,0,0,2,3,0,0,4,0,0,2,0,1,2,71,3,80,0,0,2,1,3,3,1,5,0,0,1,0,0,1,13,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,1,27,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,2004
2,0,1,3,0,2,1,140,2,5,1,1,0,2,57,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,2,36,0,1,0,0,0,4,0,0,2,0,2,0,217,0,7,4,4,0,7,30,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,47,0,1,2,0,0,4,0,0,0,0,0,0,6,2,0,2,0,0,1,264,9,7,4,3,0,24,61,1,0,1,1,2,7,0,0,1,0,1,2,125,2,3,1,0,0,2,41,1,1,4,0,0,5,0,0,1,0,0,1,79,0,4,0,0,0,14,40,1,1,0,1,0,0,0,0,1,1,0,0,21,0,1,1,0,1,4,10,0,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,151,4,2,3,1,0,2,14,1,0,2,0,0,5,0,1,0,0,0,0,141,1,0,1,0,0,7,27,1,0,1,1,0,0,1,0,0,0,0,0,37,2,1,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,7,0,0,0,0,0,2,1,0,2,0,0,0,71,4,1,1,0,0,1,20,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004
