AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY,Sum
17,0,0,0,0,0,0,12,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,22,18,4,8,0,54,674,6,0,14,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503
7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,6,854,10,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,10,0,0,4,0,4,10,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503
0,1,0,2,3,0,0,7,0,6,1,0,0,0,3,3,1,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,4,25,1,26,61,2,10,70,13,978,12,3,2,17,10,37,13,65,1,0,0,0,0,0,3,0,0,11,0,7,0,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,9,0,21,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,20,0,18,0,0,0,0,0,0,0,16,0,0,1,2,0,6,4,1,0,335,2,16,5,0,0,4,0,0,5,5,1,0,0,0,0,1,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2004
0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,25,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,26,0,1,1,0,0,15,6,1,0,1,1,0,3,0,0,0,0,3,0,61,3,1,1,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,1,0,1,70,11,9,2,3,0,20,335,2,1,12,1,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,2,0,0,0,0,0,6,2,1,7,0,3,2,978,7,21,11,3,1,18,16,5,0,3,2,2,1,0,0,0,0,0,0,12,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37,4,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,0,0,0,1,0,0,5,0,0,0,0,0,6,0,1,2,0,0,2,65,0,1,0,1,0,16,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
8,0,4,28,2,0,0,4,4,2,0,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,2,2,2,8,2,4,12,2,0,4,10,8,0,0,0,0,0,0,0,120,8,34,30,134,126,62,20,20,2,126,86,158,28,22,2,8,0,0,0,0,0,0,4,2,0,4,2,2,0,10,4,0,0,4,0,0,0,0,0,0,0,0,0,8,18,2,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,2,0,6,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,30,24,14,8,0,90,24,18,0,6,0,6,0,0,0,0,0,0,0,0,20,22,2,12,0,46,50,26,6,8,0,0,0,0,0,0,0,0,0,0,0,10,8,12,0,36,0,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,32,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
8,6,6,92,0,0,22,86,44,50,8,0,0,30,42,10,4,30,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,12,12,28,2,4,0,0,24,16,0,0,0,0,0,0,0,0,32,8,6,26,124,64,26,6,10,0,30,42,18,8,32,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,6,0,0,0,6,8,0,0,2,0,0,0,0,0,0,0,0,0,74,52,44,14,16,2,80,84,26,20,36,0,2,0,0,0,0,0,0,0,0,8,34,2,4,0,16,46,18,0,46,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,48,44,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,14,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,4,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
2,0,0,0,0,0,0,19,0,2,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,1,0,0,1,0,2,11,1,0,0,0,0,5,0,0,3,0,0,1,358,9,10,9,6,0,21,152,3,1,8,2,1,0,0,0,0,0,0,0,16,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,1,0,0,0,19,1,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,0,0,3,6,0,0,0,0,0,12,1,0,2,0,0,0,164,1,4,1,0,0,2,8,0,0,0,1,0,4,0,0,1,0,0,1,126,2,6,2,2,0,11,40,2,0,1,1,0,0,0,0,1,0,0,0,86,3,0,0,0,0,4,13,1,1,1,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,187,2,3,4,1,0,1,38,0,0,1,0,0,4,1,0,2,0,4,2,108,1,2,1,0,0,3,10,1,0,0,0,0,2,1,1,0,0,1,0,99,5,2,0,0,0,2,56,1,3,5,0,0,0,0,0,1,0,0,0,20,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,34,0,2,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,2004
0,2,0,8,13,0,0,69,2,106,2,0,1,5,4,0,5,6,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,39,3,8,1,0,0,0,0,0,0,1,0,0,0,7,0,8,16,1,2,37,2,183,5,0,0,0,2,2,2,14,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,2,86,2,255,5,0,1,0,1,7,3,15,0,0,0,1,1,2,6,0,1,65,0,98,2,0,0,0,1,0,1,13,0,0,1,4,0,14,4,0,0,42,2,64,1,1,0,0,1,0,2,11,0,0,0,0,0,0,1,0,0,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,25,0,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,3,9,1,1,14,2,96,0,0,0,2,0,32,1,16,0,0,1,3,0,6,10,0,1,21,0,110,4,1,0,8,3,2,1,13,2,0,1,2,0,1,4,0,0,22,0,22,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,7,0,11,0,1,0,6,0,1,0,1,0,0,3,3,0,3,13,1,1,30,1,40,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
