"AA","Int","Probibility","P_value","delabel"
"AQ","I1","-0.00672519324840764","0.243979501880885",NA
"AQ","I4","-0.00672519324840764","0.243979501880885",NA
"AQ","I5","-0.00654731","0.305343622898658",NA
"AQ","I6","-0.00654731","0.311593148602419",NA
"AR","I2_P","0","0.366849446280793",NA
"AR","I3_P","0","0.368910398226179",NA
"AR","I2_A","-0.00607299","0.306826434143391",NA
"AR","I3_A","0.000462957712418301","0.363910421891001",NA
"AR","I1","0.000592873503184715","0.269934768038377",NA
"AR","I4","0.000592873503184715","0.269934768038377",NA
"AR","I5","-0.00607299","0.305343622898658",NA
"AR","I6","0.000256123924050633","0.364679388734674",NA
"AS","I2_P","0","0.366849446280793",NA
"AS","I3_P","0","0.368910398226179",NA
"AS","I2_A","-0.00433664","0.306826434143391",NA
"AS","I3_A","-0.00433664","0.306826434143391",NA
"AS","I1","-0.00867328","0.33228610889228",NA
"AS","I4","-0.00867328","0.33228610889228",NA
"AS","I5","-0.00433664","0.305343622898658",NA
"AS","I6","-0.00433664","0.311593148602419",NA
"AT","I2_P","0","0.366849446280793",NA
"AT","I3_P","0","0.368910398226179",NA
"AT","I2_A","-0.00244783","0.306826434143391",NA
"AT","I3_A","-0.00244783","0.306826434143391",NA
"AT","I1","0.00784319350318471","0.201803991742456",NA
"AT","I4","0.00784319350318471","0.201803991742456",NA
"AT","I5","0.00396242641025641","0.363615306657901",NA
"AT","I6","-0.00244783","0.311593148602419",NA
"AV","I2_P","0","0.366849446280793",NA
"AV","I3_P","0","0.368910398226179",NA
"AV","I2_A","-0.00378609","0.306826434143391",NA
"AV","I3_A","-0.00378609","0.306826434143391",NA
"AV","I1","-0.00757218","0.33228610889228",NA
"AV","I4","-0.00757218","0.33228610889228",NA
"AV","I5","-0.00378609","0.305343622898658",NA
"AV","I6","0.00887213784810126","0.212054311227245",NA
"AW","I2_P","0","0.366849446280793",NA
"AW","I3_P","0","0.368910398226179",NA
"AW","I2_A","-0.000315084","0.306826434143391",NA
"AW","I3_A","-0.000315084","0.306826434143391",NA
"AW","I1","-0.000630168","0.33228610889228",NA
"AW","I4","-0.000630168","0.33228610889228",NA
"AW","I5","-0.000315084","0.305343622898658",NA
"AW","I6","-0.000315084","0.311593148602419",NA
"AY","I2_P","0","0.366849446280793",NA
"AY","I3_P","0","0.368910398226179",NA
"AY","I2_A","-0.00126203","0.306826434143391",NA
"AY","I3_A","-0.00126203","0.306826434143391",NA
"AY","I1","-0.00252406","0.33228610889228",NA
"AY","I4","-0.00252406","0.33228610889228",NA
"AY","I5","0.00514822641025641","0.363615306657901",NA
"AY","I6","-0.00126203","0.311593148602419",NA
"CA","I2_P","0","0.366849446280793",NA
"CA","I3_P","0","0.368910398226179",NA
"CA","I2_A","-0.000631015","0.306826434143391",NA
"CA","I3_A","-0.000631015","0.306826434143391",NA
"CA","I1","0","0.33228610889228",NA
"CA","I4","0","0.33228610889228",NA
"CA","I5","-0.000631015","0.305343622898658",NA
"CA","I6","-0.000631015","0.311593148602419",NA
"CC","I2_P","-0.00745","0.366849446280793",NA
"CC","I3_P","0.00940393258426966","0.0604526823504155",NA
"CC","I2_A","-5.55025e-05","0.306826434143391",NA
"CC","I3_A","-5.55025e-05","0.306826434143391",NA
"CC","I1","-5.55025e-05","0.33228610889228",NA
"CC","I4","-5.55025e-05","0.33228610889228",NA
"CC","I5","0.00635475391025641","0.363615306657901",NA
"CC","I6","-5.55025e-05","0.311593148602419",NA
"CD","I2_P","0","0.366849446280793",NA
"CD","I3_P","0","0.368910398226179",NA
"CD","I2_A","-0.00033972","0.306826434143391",NA
"CD","I3_A","-0.00033972","0.306826434143391",NA
"CD","I1","-0.00067944","0.33228610889228",NA
"CD","I4","-0.00067944","0.33228610889228",NA
"CD","I5","-0.00033972","0.305343622898658",NA
"CD","I6","-0.00033972","0.311593148602419",NA
"CE","I2_P","0","0.366849446280793",NA
"CE","I3_P","0","0.368910398226179",NA
"CE","I2_A","-0.00103555","0.306826434143391",NA
"CE","I3_A","-0.00103555","0.306826434143391",NA
"CE","I1","-0.0020711","0.33228610889228",NA
"CE","I4","-0.0020711","0.33228610889228",NA
"CE","I5","-0.00103555","0.305343622898658",NA
"CE","I6","-0.00103555","0.311593148602419",NA
"CF","I2_P","0","0.366849446280793",NA
"CF","I3_P","0","0.368910398226179",NA
"CF","I2_A","-0.000215305","0.306826434143391",NA
"CF","I3_A","-0.000215305","0.306826434143391",NA
"CF","I1","-0.00043061","0.33228610889228",NA
"CF","I4","-0.00043061","0.33228610889228",NA
"CF","I5","-0.000215305","0.305343622898658",NA
"CF","I6","-0.000215305","0.311593148602419",NA
"CG","I2_P","0","0.366849446280793",NA
"CG","I3_P","0","0.368910398226179",NA
"CG","I2_A","-0.00011771","0.306826434143391",NA
"CG","I3_A","-0.00011771","0.306826434143391",NA
"CG","I1","-0.00023542","0.33228610889228",NA
"CG","I4","-0.00023542","0.33228610889228",NA
"CG","I5","-0.00011771","0.305343622898658",NA
"CG","I6","-0.00011771","0.311593148602419",NA
"CH","I2_P","0","0.366849446280793",NA
"CH","I3_P","0","0.368910398226179",NA
"CH","I2_A","-0.000173585","0.306826434143391",NA
"CH","I3_A","-0.000173585","0.306826434143391",NA
"CH","I1","-0.00034717","0.33228610889228",NA
"CH","I4","-0.00034717","0.33228610889228",NA
"CH","I5","-0.000173585","0.305343622898658",NA
"CH","I6","-0.000173585","0.311593148602419",NA
"CI","I2_P","0","0.366849446280793",NA
"CI","I3_P","0","0.368910398226179",NA
"CI","I2_A","-0.000492445","0.306826434143391",NA
"CI","I3_A","0.0060435027124183","0.363910421891001",NA
"CI","I1","0.00538453675159236","0.367386754197858",NA
"CI","I4","0.00538453675159236","0.367386754197858",NA
"CI","I5","-0.000492445","0.305343622898658",NA
"CI","I6","-0.000492445","0.311593148602419",NA
