"AA","Int","Probibility","P_value","delabel"
"AM","I3_A","0","0.240925848035997",NA
"AM","I1","0","0.265828908731312",NA
"AM","I4","0","0.265828908731312",NA
"AM","I5","0","0.268081696093435",NA
"AM","I6","-0.00854700854700855","0.257629827044182",NA
"AN","I2_P","0","0.248328418900775",NA
"AN","I3_P","0","0.255638395988965",NA
"AN","I2_A","0","0.240925848035997",NA
"AN","I3_A","0","0.240925848035997",NA
"AN","I1","0","0.265828908731312",NA
"AN","I4","0","0.265828908731312",NA
"AN","I5","0","0.268081696093435",NA
"AN","I6","-0.00221789462295792","0.350909592008483",NA
"AP","I2_P","0","0.248328418900775",NA
"AP","I3_P","0","0.255638395988965",NA
"AP","I2_A","0","0.240925848035997",NA
"AP","I3_A","0","0.240925848035997",NA
"AP","I1","0","0.265828908731312",NA
"AP","I4","0","0.265828908731312",NA
"AP","I5","0","0.268081696093435",NA
"AP","I6","0","0.257629827044182",NA
"AQ","I2_P","0","0.248328418900775",NA
"AQ","I3_P","0","0.255638395988965",NA
"AQ","I2_A","-0.00925925925925926","0.240925848035997",NA
"AQ","I3_A","0","0.240925848035997",NA
"AQ","I1","-0.0104372959374833","0.187521531752453",NA
"AQ","I4","-0.0104372959374833","0.187521531752453",NA
"AQ","I5","0","0.268081696093435",NA
"AQ","I6","-0.00854700854700855","0.257629827044182",NA
"AR","I2_P","0","0.248328418900775",NA
"AR","I3_P","0","0.255638395988965",NA
"AR","I2_A","0","0.240925848035997",NA
"AR","I3_A","0.0065359477124183","0.344501446257088",NA
"AR","I1","-0.0124712305304287","0.148714103059496",NA
"AR","I4","-0.0124712305304287","0.148714103059496",NA
"AR","I5","0","0.268081696093435",NA
"AR","I6","-0.00221789462295792","0.350909592008483",NA
"AS","I2_P","0","0.248328418900775",NA
"AS","I3_P","0","0.255638395988965",NA
"AS","I2_A","-0.00925925925925926","0.240925848035997",NA
"AS","I3_A","0","0.240925848035997",NA
"AS","I1","-0.00840336134453781","0.265828908731312",NA
"AS","I4","-0.00840336134453781","0.265828908731312",NA
"AS","I5","-0.00840336134453781","0.268081696093435",NA
"AS","I6","0","0.257629827044182",NA
"AT","I2_P","0","0.248328418900775",NA
"AT","I3_P","0","0.255638395988965",NA
"AT","I2_A","0","0.240925848035997",NA
"AT","I3_A","-0.00925925925925926","0.240925848035997",NA
"AT","I1","-0.00406786918589092","0.25002870900323",NA
"AT","I4","-0.00406786918589092","0.25002870900323",NA
"AT","I5","0.00641025641025641","0.354413089750588",NA
"AT","I6","0","0.257629827044182",NA
"AV","I2_P","0","0.248328418900775",NA
"AV","I3_P","0","0.255638395988965",NA
"AV","I2_A","-0.00925925925925926","0.240925848035997",NA
"AV","I3_A","-0.0185185185185185","0.0572746964308892",NA
"AV","I1","-0.00840336134453781","0.265828908731312",NA
"AV","I4","-0.00840336134453781","0.265828908731312",NA
"AV","I5","0","0.268081696093435",NA
"AV","I6","0.00411121930109272","0.237468991143695",NA
"AW","I2_P","0","0.248328418900775",NA
"AW","I3_P","0","0.255638395988965",NA
"AW","I2_A","0","0.240925848035997",NA
"AW","I3_A","0","0.240925848035997",NA
"AW","I1","0","0.265828908731312",NA
"AW","I4","0","0.265828908731312",NA
"AW","I5","0","0.268081696093435",NA
"AW","I6","0","0.257629827044182",NA
"AY","I2_P","0","0.248328418900775",NA
"AY","I3_P","0","0.255638395988965",NA
"AY","I2_A","0","0.240925848035997",NA
"AY","I3_A","0","0.240925848035997",NA
"AY","I1","0","0.265828908731312",NA
"AY","I4","0","0.265828908731312",NA
"AY","I5","0.00641025641025641","0.354413089750588",NA
"AY","I6","0","0.257629827044182",NA
"CA","I2_P","0","0.248328418900775",NA
"CA","I3_P","0","0.255638395988965",NA
"CA","I2_A","0","0.240925848035997",NA
"CA","I3_A","0","0.240925848035997",NA
"CA","I1","0","0.265828908731312",NA
"CA","I4","0","0.265828908731312",NA
"CA","I5","0","0.268081696093435",NA
"CA","I6","0","0.257629827044182",NA
"CC","I2_P","-0.00775193798449612","0.248328418900775",NA
"CC","I3_P","-0.021314006347028","0.0566525506777983",NA
"CC","I2_A","0","0.240925848035997",NA
"CC","I3_A","0","0.240925848035997",NA
"CC","I1","0","0.265828908731312",NA
"CC","I4","0","0.265828908731312",NA
