,AA,Int,CCplus_APCCvsPCC_asAPCC,CCplus_expected_asAPCC,CCplus_APCCvsPCC_asPCC,CCplus_expected_asPCC
94,AN,I4,0,-0.004622738,0,-0.00520058
95,AN,I5,0,-0.00260029,0,-0.00260029
96,AN,I6,0,-0.00260029,-0.002217895,0.003728824
97,AP,I2_P,0,-0.000496496,0,0
98,AP,I3_P,0,-0.000490131,0,0
99,AP,I2_A,0,-0.000315084,0,-0.000315084
100,AP,I3_A,0,-0.000315084,0,-0.000315084
101,AP,I1,0,-0.000560149,0,-0.000630168
102,AP,I4,0,-0.000560149,0,-0.000630168
103,AP,I5,0,-0.000315084,0,-0.000315084
104,AP,I6,0,-0.000315084,0,-0.000315084
105,AQ,I2_P,0,-0.010316973,0,0
106,AQ,I3_P,0,-0.010184704,0,0
107,AQ,I2_A,0,-0.00654731,-0.009259259,-0.00654731
108,AQ,I3_A,0,-0.00654731,0,-0.00654731
109,AQ,I1,-0.012903226,-0.011639662,-0.010437296,-0.006725193
110,AQ,I4,0.016806723,0.00516706,-0.010437296,-0.006725193
111,AQ,I5,0,-0.00654731,0,-0.00654731
112,AQ,I6,0,-0.00654731,-0.008547009,-0.00654731
113,AR,I2_P,0.005619693,0.009122029,0,0
114,AR,I3_P,0,-0.009446873,0,0
115,AR,I2_A,0,-0.00607299,0,-0.00607299
116,AR,I3_A,-0.005649718,-0.00607299,0.006535948,0.000462958
117,AR,I1,-0.012903226,-0.010796427,-0.012471231,0.000592874
118,AR,I4,-0.012578616,-0.010796427,-0.012471231,0.000592874
119,AR,I5,0.008547009,0.002474019,0,-0.00607299
120,AR,I6,0,-0.00607299,-0.002217895,0.000256124
121,AS,I2_P,0,-0.006833493,0,0
122,AS,I3_P,0,-0.006745884,0,0
123,AS,I2_A,0.015503876,0.011167236,-0.009259259,-0.00433664
124,AS,I3_A,0,-0.00433664,0,-0.00433664
125,AS,I1,0,-0.007709582,-0.008403361,-0.00867328
126,AS,I4,0,-0.007709582,-0.008403361,-0.00867328
127,AS,I5,0,-0.00433664,-0.008403361,-0.00433664
128,AS,I6,0,-0.00433664,0,-0.00433664
129,AT,I2_P,0,-0.003857187,0,0
130,AT,I3_P,0,-0.003807736,0,0
131,AT,I2_A,0.015503876,0.013056046,0,-0.00244783
132,AT,I3_A,0.007751938,0.005304108,-0.009259259,-0.00244783
133,AT,I1,0,-0.004351698,-0.004067869,0.007843194
134,AT,I4,0,-0.004351698,-0.004067869,0.007843194
135,AT,I5,0,-0.00244783,0.006410256,0.003962426
136,AT,I6,0,-0.00244783,0,-0.00244783
137,AV,I2_P,0,-0.00596596,0,0
138,AV,I3_P,0,-0.005889473,0,0
139,AV,I2_A,-0.003547497,0.003965848,-0.009259259,-0.00378609
140,AV,I3_A,-0.014846932,0.003965848,-0.018518519,-0.00378609
141,AV,I1,0,-0.006730827,-0.008403361,-0.00757218
142,AV,I4,0.021034829,0.026882619,-0.008403361,-0.00757218
143,AV,I5,-0.006369427,-0.00378609,0,-0.00378609
144,AV,I6,0.008403361,0.004617271,0.004111219,0.008872138
145,AW,I2_P,0,-0.000496496,0,0
146,AW,I3_P,0,-0.000490131,0,0
147,AW,I2_A,0,-0.000315084,0,-0.000315084
148,AW,I3_A,0,-0.000315084,0,-0.000315084
149,AW,I1,-0.012903226,-0.000560149,0,-0.000630168
150,AW,I4,0,-0.000560149,0,-0.000630168
151,AW,I5,0,-0.000315084,0,-0.000315084
152,AW,I6,0,-0.000315084,0,-0.000315084
153,AY,I2_P,0,-0.001988653,0,0
154,AY,I3_P,0,-0.001963158,0,0
155,AY,I2_A,0,-0.00126203,0,-0.00126203
156,AY,I3_A,0,-0.00126203,0,-0.00126203
157,AY,I1,0,-0.002243609,0,-0.00252406
158,AY,I4,-0.012578616,-0.002243609,0,-0.00252406
159,AY,I5,0,-0.00126203,0.006410256,0.005148226
160,AY,I6,0,-0.00126203,0,-0.00126203
161,CA,I2_P,0,0,0,0
162,CA,I3_P,0,0,0,0
163,CA,I2_A,0,-0.000631015,0,-0.000631015
164,CA,I3_A,0,-0.000631015,0,-0.000631015
165,CA,I1,0,0,0,0
166,CA,I4,0,0,0,0
167,CA,I5,0,-0.000631015,0,-0.000631015
168,CA,I6,0,-0.000631015,0,-0.000631015
