,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
129,AT,I2_P,0,0,0,0
130,AT,I3_P,0,0,0,0
131,AT,I2_A,0.015503876,0,0,0
132,AT,I3_A,0.007751938,0,0.009259259,0
133,AT,I1,0,0,0.016806723,0.012738854
134,AT,I4,0,0,0.016806723,0.012738854
135,AT,I5,0,0,0,0.006410256
136,AT,I6,0,0,0,0
137,AV,I2_P,0,0,0,0
138,AV,I3_P,0,0,0,0
139,AV,I2_A,0.007751938,0.011299435,0.009259259,0
140,AV,I3_A,0.007751938,0.02259887,0.018518519,0
141,AV,I1,0,0,0.008403361,0
142,AV,I4,0.033613445,0.012578616,0.008403361,0
143,AV,I5,0,0.006369427,0,0
144,AV,I6,0.008403361,0,0.008547009,0.012658228
145,AW,I2_P,0,0,0,0
146,AW,I3_P,0,0,0,0
147,AW,I2_A,0,0,0,0
148,AW,I3_A,0,0,0,0
149,AW,I1,0,0.012903226,0,0
150,AW,I4,0,0,0,0
151,AW,I5,0,0,0,0
152,AW,I6,0,0,0,0
153,AY,I2_P,0,0,0,0
154,AY,I3_P,0,0,0,0
155,AY,I2_A,0,0,0,0
156,AY,I3_A,0,0,0,0
157,AY,I1,0,0,0,0
158,AY,I4,0,0.012578616,0,0
159,AY,I5,0,0,0,0.006410256
160,AY,I6,0,0,0,0
161,CA,I2_P,0,0,0,0
162,CA,I3_P,0,0,0,0
163,CA,I2_A,0,0,0,0
164,CA,I3_A,0,0,0,0
165,CA,I1,0,0,0,0
166,CA,I4,0,0,0,0
167,CA,I5,0,0,0,0
168,CA,I6,0,0,0,0
169,CC,I2_P,0,0,0.007751938,0
170,CC,I3_P,0.018181818,0.006535948,0.038167939,0.016853933
171,CC,I2_A,0,0,0,0
172,CC,I3_A,0,0,0,0
173,CC,I1,0,0,0,0
174,CC,I4,0,0,0,0
175,CC,I5,0,0,0,0.006410256
176,CC,I6,0,0,0,0
177,CD,I2_P,0,0,0,0
178,CD,I3_P,0,0,0,0
