"AA","Int","Probibility","P_value","delabel"
"AH","I2_A","-0.00197351","0.251655976682804",NA
"AH","I3_A","-0.00197351","0.251655976682804",NA
"AH","I1","-0.00350846222222222","0.302404435669018",NA
"AH","I4","-0.00350846222222222","0.302404435669018",NA
"AH","I5","-0.00197351","0.229530922911602",NA
"AH","I6","-0.00197351","0.232203527444892",NA
"AI","I2_P","-0.00882214666666667","0.318416203635429",NA
"AI","I3_P","0.00947277595959596","0.211836501024422",NA
"AI","I2_A","-0.00559867","0.251655976682804",NA
"AI","I3_A","-0.00559867","0.251655976682804",NA
"AI","I1","-0.00995319111111111","0.302404435669018",NA
"AI","I4","-0.00995319111111111","0.302404435669018",NA
"AI","I5","-0.00559867","0.229530922911602",NA
"AI","I6","0.0112080526890756","0.248483610149459",NA
"AK","I2_P","-0.00994326666666667","0.318416203635429",NA
"AK","I3_P","0.00836602929292929","0.211836501024422",NA
"AK","I2_A","-0.00631015","0.251655976682804",NA
"AK","I3_A","0.00919372596899225","0.24022103636181",NA
"AK","I1","-0.0112180444444444","0.302404435669018",NA
"AK","I4","-0.0112180444444444","0.302404435669018",NA
"AK","I5","-0.00631015","0.229530922911602",NA
"AK","I6","-0.00631015","0.232203527444892",NA
"AL","I2_P","0.0158950442367601","0.115421550403961",NA
"AL","I3_P","-0.00303082626262627","0.266938392494789",NA
"AL","I2_A","0.00186717596899225","0.243439268374391",NA
"AL","I3_A","0.00186717596899225","0.243439268374391",NA
"AL","I1","-0.0242430222222222","0.0266585410327987","AL"
"AL","I4","-0.00743629953314659","0.17903353696689",NA
"AL","I5","-0.00508969145299145","0.155117676715966",NA
"AL","I6","0.0199767453781513","0.16424101906226",NA
"AM","I2_P","-0.0036036","0.318416203635429",NA
"AM","I3_P","-0.0035574","0.312224741126222",NA
"AM","I2_A","-0.0022869","0.251655976682804",NA
"AM","I3_A","-0.0022869","0.251655976682804",NA
"AM","I1","-0.0040656","0.302404435669018",NA
"AM","I4","0.0127411226890756","0.216629072832588",NA
"AM","I5","0.00626010854700855","0.339938202286805",NA
"AM","I6","0.00611646134453782","0.341138515628913",NA
"AN","I2_P","-0.00409742666666667","0.318416203635429",NA
"AN","I3_P","-0.00404489555555556","0.312224741126222",NA
"AN","I2_A","-0.00260029","0.251655976682804",NA
"AN","I3_A","-0.00260029","0.251655976682804",NA
"AN","I1","0.0121839849112979","0.216629072832588",NA
"AN","I4","-0.00462273777777778","0.302404435669018",NA
"AN","I5","-0.00260029","0.229530922911602",NA
"AN","I6","-0.00260029","0.232203527444892",NA
"AP","I2_P","-0.000496496","0.318416203635429",NA
"AP","I3_P","-0.000490130666666667","0.312224741126222",NA
"AP","I2_A","-0.000315084","0.251655976682804",NA
"AP","I3_A","-0.000315084","0.251655976682804",NA
"AP","I1","-0.000560149333333333","0.302404435669018",NA
"AP","I4","-0.000560149333333333","0.302404435669018",NA
"AP","I5","-0.000315084","0.229530922911602",NA
"AP","I6","-0.000315084","0.232203527444892",NA
"AQ","I2_P","-0.0103169733333333","0.318416203635429",NA
"AQ","I3_P","-0.0101847044444444","0.312224741126222",NA
"AQ","I2_A","-0.00654731","0.251655976682804",NA
"AQ","I3_A","-0.00654731","0.251655976682804",NA
"AQ","I1","-0.0116396622222222","0.302404435669018",NA
"AQ","I4","0.00516706046685341","0.216629072832588",NA
"AQ","I5","-0.00654731","0.229530922911602",NA
"AQ","I6","-0.00654731","0.232203527444892",NA
"AR","I2_P","0.00912202878504673","0.208780008187824",NA
"AR","I3_P","-0.00944687333333333","0.312224741126222",NA
"AR","I2_A","-0.00607299","0.251655976682804",NA
"AR","I3_A","-0.00607299","0.251655976682804",NA
"AR","I1","-0.0107964266666667","0.302404435669018",NA
"AR","I4","-0.0107964266666667","0.302404435669018",NA
"AR","I5","0.00247401854700855","0.339938202286805",NA
"AR","I6","-0.00607299","0.232203527444892",NA
"AS","I2_P","-0.00683349333333333","0.318416203635429",NA
"AS","I3_P","-0.00674588444444445","0.312224741126222",NA
"AS","I2_A","0.0111672359689922","0.24022103636181",NA
"AS","I3_A","-0.00433664","0.251655976682804",NA
"AS","I1","-0.00770958222222222","0.302404435669018",NA
"AS","I4","-0.00770958222222222","0.302404435669018",NA
"AS","I5","-0.00433664","0.229530922911602",NA
"AS","I6","-0.00433664","0.232203527444892",NA
"AT","I2_P","-0.00385718666666667","0.318416203635429",NA
"AT","I3_P","-0.00380773555555556","0.312224741126222",NA
"AT","I2_A","0.0130560459689922","0.24022103636181",NA
"AT","I3_A","0.00530410798449612","0.349071193463236",NA
"AT","I1","-0.00435169777777778","0.302404435669018",NA
"AT","I4","-0.00435169777777778","0.302404435669018",NA
"AT","I5","-0.00244783","0.229530922911602",NA
"AT","I6","-0.00244783","0.232203527444892",NA
"AV","I2_P","-0.00596596","0.318416203635429",NA
"AV","I3_P","-0.00588947333333333","0.312224741126222",NA
"AV","I2_A","0.00396584798449612","0.349071193463236",NA
"AV","I3_A","0.00396584798449612","0.349071193463236",NA
"AV","I1","-0.00673082666666667","0.302404435669018",NA
"AV","I4","0.0268826187114846","0.0249982125674601","AV"
"AV","I5","-0.00378609","0.229530922911602",NA
"AV","I6","0.00461727134453781","0.341138515628913",NA
"AW","I2_P","-0.000496496","0.318416203635429",NA
"AW","I3_P","-0.000490130666666667","0.312224741126222",NA
"AW","I2_A","-0.000315084","0.251655976682804",NA
"AW","I3_A","-0.000315084","0.251655976682804",NA
"AW","I1","-0.000560149333333333","0.302404435669018",NA
"AW","I4","-0.000560149333333333","0.302404435669018",NA
"AW","I5","-0.000315084","0.229530922911602",NA
"AW","I6","-0.000315084","0.232203527444892",NA
"AY","I2_P","-0.00198865333333333","0.318416203635429",NA
"AY","I3_P","-0.00196315777777778","0.312224741126222",NA
"AY","I2_A","-0.00126203","0.251655976682804",NA
"AY","I3_A","-0.00126203","0.251655976682804",NA
"AY","I1","-0.00224360888888889","0.302404435669018",NA
"AY","I4","-0.00224360888888889","0.302404435669018",NA
"AY","I5","-0.00126203","0.229530922911602",NA
"AY","I6","-0.00126203","0.232203527444892",NA
"CA","I2_P","0","0.318416203635429",NA
"CA","I3_P","0","0.312224741126222",NA
"CA","I2_A","-0.000631015","0.251655976682804",NA
"CA","I3_A","-0.000631015","0.251655976682804",NA
"CA","I1","0","0.302404435669018",NA
"CA","I4","0","0.302404435669018",NA
"CA","I5","-0.000631015","0.229530922911602",NA
"CA","I6","-0.000631015","0.232203527444892",NA
"CC","I2_P","-0.00162403227272727","0.318416203635429",NA
"CC","I3_P","0.0164830940151515","0.211836501024422",NA
"CC","I2_A","-5.55025e-05","0.251655976682804",NA
"CC","I3_A","-5.55025e-05","0.251655976682804",NA
"CC","I1","-0.000877113333333333","0.302404435669018",NA
"CC","I4","-0.000877113333333333","0.302404435669018",NA
"CC","I5","-5.55025e-05","0.229530922911602",NA
"CC","I6","-5.55025e-05","0.232203527444892",NA
"CD","I2_P","-0.000535316363636364","0.318416203635429",NA
"CD","I3_P","-0.000528453333333333","0.312224741126222",NA
"CD","I2_A","-0.00033972","0.251655976682804",NA
"CD","I3_A","0.00741221798449612","0.349071193463236",NA
"CD","I1","-0.000603946666666667","0.302404435669018",NA
"CD","I4","-0.000603946666666667","0.302404435669018",NA
"CD","I5","-0.00033972","0.229530922911602",NA
"CD","I6","-0.00033972","0.232203527444892",NA
"CE","I2_P","-0.00163177575757576","0.318416203635429",NA
"CE","I3_P","-0.00161085555555556","0.312224741126222",NA
"CE","I2_A","-0.00103555","0.251655976682804",NA
"CE","I3_A","-0.00103555","0.251655976682804",NA
"CE","I1","-0.00184097777777778","0.302404435669018",NA
"CE","I4","-0.00184097777777778","0.302404435669018",NA
"CE","I5","-0.00103555","0.229530922911602",NA
"CE","I6","-0.00103555","0.232203527444892",NA
"CF","I2_P","-0.000339268484848485","0.318416203635429",NA
