"AA","Int","Probibility","P_value","delabel"
"AS","I3_A","0","0.481485028299196",NA
"AS","I1","0","0.462906945763132",NA
"AS","I4","0","0.471992995287863",NA
"AS","I5","0","0.473498574198843",NA
"AS","I6","0","0.467485954874578",NA
"AT","I2_P","0","0.495770649975813",NA
"AT","I3_P","0","0.486113054319451",NA
"AT","I2_A","0.0155038759689922","0.128329687294627",NA
"AT","I3_A","0.00775193798449612","0.352906640060192",NA
"AT","I1","0","0.462906945763132",NA
"AT","I4","0","0.471992995287863",NA
"AT","I5","0","0.473498574198843",NA
"AT","I6","0","0.467485954874578",NA
"AV","I2_P","0","0.495770649975813",NA
"AV","I3_P","0","0.486113054319451",NA
"AV","I2_A","-0.00354749704375246","0.340360048708312",NA
"AV","I3_A","-0.0148469320720011","0.156314599215561",NA
"AV","I1","0","0.462906945763132",NA
"AV","I4","0.02103482902595","0.0463643092107396","AV"
"AV","I5","-0.00636942675159236","0.473498574198843",NA
"AV","I6","0.00840336134453781","0.356607875833799",NA
"AW","I2_P","0","0.495770649975813",NA
"AW","I3_P","0","0.486113054319451",NA
"AW","I2_A","0","0.481485028299196",NA
"AW","I3_A","0","0.481485028299196",NA
"AW","I1","-0.0129032258064516","0.213210301859674",NA
"AW","I4","0","0.471992995287863",NA
"AW","I5","0","0.473498574198843",NA
"AW","I6","0","0.467485954874578",NA
"AY","I2_P","0","0.495770649975813",NA
"AY","I3_P","0","0.486113054319451",NA
"AY","I2_A","0","0.481485028299196",NA
"AY","I3_A","0","0.481485028299196",NA
"AY","I1","0","0.462906945763132",NA
"AY","I4","-0.0125786163522013","0.221717943927167",NA
"AY","I5","0","0.473498574198843",NA
"AY","I6","0","0.467485954874578",NA
"CA","I2_P","0","0.495770649975813",NA
"CA","I3_P","0","0.486113054319451",NA
"CA","I2_A","0","0.481485028299196",NA
"CA","I3_A","0","0.481485028299196",NA
"CA","I1","0","0.462906945763132",NA
"CA","I4","0","0.471992995287863",NA
"CA","I5","0","0.473498574198843",NA
"CA","I6","0","0.467485954874578",NA
"CC","I2_P","0","0.495770649975813",NA
"CC","I3_P","0.0116458704693999","0.126136069972525",NA
"CC","I2_A","0","0.481485028299196",NA
"CC","I3_A","0","0.481485028299196",NA
"CC","I1","0","0.462906945763132",NA
"CC","I4","0","0.471992995287863",NA
"CC","I5","0","0.473498574198843",NA
"CC","I6","0","0.467485954874578",NA
"CD","I2_P","0","0.495770649975813",NA
"CD","I3_P","0","0.486113054319451",NA
"CD","I2_A","0","0.481485028299196",NA
"CD","I3_A","0.00775193798449612","0.352906640060192",NA
